compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,BXY
-0.8719,REBGLO,0.061,0.913,0.026,BXY
-0.8901,REBGLO,0.066,0.916,0.018,BXY
-0.8978,REBGLO,0.057,0.924,0.018,BXY
0.9158,REBGLO,0.027,0.882,0.091,BXY
0.9874,REBGLO,0.014,0.86,0.126,BXY
-0.7096,REBGLO,0.018,0.978,0.004,BXY
-0.5719,REBGLO,0.017,0.978,0.005,BXY
0.25,REBGLO,0.05,0.901,0.05,BXY
0.5424,REBGLO,0.074,0.844,0.082,BXY
0.9524,REBGLO,0.019,0.897,0.084,BXY
0.0772,REBGLO,0.012,0.976,0.012,BXY
0.2023,REBGLO,0.011,0.977,0.013,BXY
-0.4939,REBGLO,0.017,0.974,0.009,BXY
-0.0772,REBGLO,0.005,0.991,0.004,BXY
0.9311,REBGLO,0.004,0.93,0.066,BXY
0.25,REBGLO,0.069,0.862,0.069,BXY
0.9945,REBGLO,0.026,0.886,0.087,BXY
0.34,REBGLO,0.0,0.982,0.018,BXY
0.9956,REBGLO,0.009,0.818,0.174,BXY
0.9326,REBGLO,0.021,0.881,0.097,BXY
0.9659,REBGLO,0.01,0.91,0.08,BXY
0.9882,REBGLO,0.015,0.89,0.095,BXY
0.9794,REBGLO,0.0,0.899,0.101,BXY
0.9531,REBGLO,0.051,0.837,0.112,BXY
0.6553,REBGLO,0.0,0.984,0.016,BXY
0.0772,REBGLO,0.0,0.982,0.018,BXY
0.9861,REBGLO,0.003,0.896,0.102,BXY
0.8205,REBGLO,0.029,0.854,0.117,BXY
0.0857,REBGLO,0.015,0.972,0.013,BXY
-0.0943,REBGLO,0.02,0.963,0.017,BXY
0.5622,REBGLO,0.013,0.966,0.021,BXY
-0.4404,REBGLO,0.225,0.775,0.0,BXY
0.9976,REBGLO,0.004,0.839,0.157,BXY
0.9978,REBGLO,0.008,0.817,0.176,BXY
0.9898,REBGLO,0.031,0.647,0.322,BXY
0.9949,REBGLO,0.0,0.838,0.162,BXY
-0.3612,REBGLO,0.011,0.985,0.005,BXY
-0.7964,REBGLO,0.027,0.968,0.005,BXY
-0.3612,REBGLO,0.012,0.982,0.005,BXY
-0.5719,REBGLO,0.018,0.977,0.005,BXY
-0.3612,REBGLO,0.01,0.985,0.005,BXY
0.9994,REBGLO,0.009,0.938,0.053,BXY
0.9949,REBGLO,0.005,0.857,0.138,BXY
0.0,REBGLO,0.0,1.0,0.0,BXY
0.9971,REBGLO,0.015,0.895,0.089,BXY
0.9968,REBGLO,0.03,0.842,0.129,BXY
0.9949,REBGLO,0.034,0.888,0.078,BXY
0.9278,REBGLO,0.017,0.842,0.14,BXY
0.823,REBGLO,0.036,0.873,0.092,BXY
0.5678,REBGLO,0.112,0.623,0.265,BXY
0.0,REBGLO,0.0,1.0,0.0,BXY
0.2263,REBGLO,0.0,0.98,0.02,BXY
0.9978,REBGLO,0.008,0.818,0.174,BXY
0.9976,REBGLO,0.004,0.84,0.156,BXY
0.9826,REBGLO,0.011,0.913,0.076,BXY
-0.8957,REBGLO,0.085,0.881,0.033,BXY
0.9774,REBGLO,0.02,0.84,0.14,BXY
0.9662,REBGLO,0.037,0.881,0.082,BXY
0.9893,REBGLO,0.016,0.913,0.071,BXY
0.9464,REBGLO,0.009,0.863,0.128,BXY
0.5396,REBGLO,0.015,0.896,0.089,BXY
0.6553,REBGLO,0.0,0.9,0.1,BXY
0.4871,REBGLO,0.0,0.982,0.018,BXY
0.8467,REBGLO,0.056,0.856,0.088,BXY
-0.9216,REBGLO,0.071,0.904,0.025,BXY
-0.7252,REBGLO,0.059,0.907,0.034,BXY
-0.973,REBGLO,0.096,0.878,0.026,BXY
-0.5493,REBGLO,0.048,0.916,0.036,BXY
0.7003,REBGLO,0.046,0.825,0.13,BXY
0.9862,REBGLO,0.0,0.796,0.204,BXY
0.1376,REBGLO,0.032,0.932,0.036,BXY
-0.2263,REBGLO,0.015,0.974,0.011,BXY
0.5994,REBGLO,0.01,0.971,0.019,BXY
-0.7096,REBGLO,0.02,0.975,0.004,BXY
0.34,REBGLO,0.015,0.967,0.018,BXY
-0.9282,REBGLO,0.127,0.852,0.021,BXY
0.9444,REBGLO,0.01,0.904,0.086,BXY
0.63,REBGLO,0.086,0.791,0.122,BXY
0.8481,REBGLO,0.0,0.977,0.023,BXY
-0.2263,REBGLO,0.016,0.972,0.012,BXY
0.846,REBGLO,0.022,0.909,0.069,BXY
0.8485,REBGLO,0.073,0.801,0.125,BXY
0.9992,REBGLO,0.044,0.814,0.142,BXY
0.4019,REBGLO,0.009,0.978,0.013,BXY
0.7717,REBGLO,0.005,0.974,0.021,BXY
0.6588,REBGLO,0.087,0.812,0.101,BXY
0.9992,REBGLO,0.041,0.827,0.131,BXY
-0.8429,REBGLO,0.087,0.85,0.063,BXY
0.968,REBGLO,0.054,0.849,0.097,BXY
0.9914,REBGLO,0.014,0.872,0.113,BXY
0.9775,REBGLO,0.03,0.909,0.061,BXY
0.3612,REBGLO,0.006,0.982,0.012,BXY
0.4939,REBGLO,0.016,0.964,0.021,BXY
0.6757,REBGLO,0.036,0.885,0.08,BXY
0.9163,REBGLO,0.032,0.839,0.129,BXY
0.9163,REBGLO,0.032,0.839,0.129,BXY
0.946,REBGLO,0.026,0.848,0.126,BXY
0.9949,REBGLO,0.005,0.855,0.14,BXY
0.7506,REBGLO,0.0,0.868,0.132,BXY
