compound,name,negative,neutral,positive,ticker
0.9473,REBGLO,0.025,0.911,0.064,STARS
0.9996,REBGLO,0.074,0.817,0.109,STARS
0.9875,REBGLO,0.009,0.887,0.104,STARS
0.9874,REBGLO,0.014,0.86,0.126,STARS
0.6553,REBGLO,0.0,0.984,0.016,STARS
0.9861,REBGLO,0.003,0.896,0.102,STARS
0.9928,REBGLO,0.006,0.912,0.081,STARS
0.9976,REBGLO,0.004,0.839,0.157,STARS
0.9994,REBGLO,0.009,0.938,0.053,STARS
0.9949,REBGLO,0.005,0.857,0.138,STARS
0.9949,REBGLO,0.034,0.888,0.078,STARS
0.9991,REBGLO,0.049,0.824,0.127,STARS
0.4738,REBGLO,0.0,0.949,0.051,STARS
0.9976,REBGLO,0.004,0.84,0.156,STARS
0.3612,REBGLO,0.0,0.95,0.05,STARS
-0.9636,REBGLO,0.06,0.917,0.023,STARS
0.9843,REBGLO,0.028,0.838,0.134,STARS
0.9662,REBGLO,0.037,0.881,0.082,STARS
0.4871,REBGLO,0.0,0.982,0.018,STARS
-0.5493,REBGLO,0.048,0.916,0.036,STARS
0.9982,REBGLO,0.086,0.787,0.127,STARS
0.9765,REBGLO,0.016,0.87,0.114,STARS
0.999,REBGLO,0.042,0.855,0.102,STARS
0.9992,REBGLO,0.044,0.814,0.142,STARS
-0.3506,REBGLO,0.051,0.908,0.04,STARS
0.9949,REBGLO,0.005,0.855,0.14,STARS
0.9671,REBGLO,0.052,0.851,0.097,STARS
0.8316,REBGLO,0.016,0.92,0.064,STARS
0.997,REBGLO,0.0,0.878,0.122,STARS
0.9994,REBGLO,0.074,0.777,0.149,STARS
0.9998,REBGLO,0.024,0.86,0.117,STARS
0.9923,REBGLO,0.043,0.859,0.098,STARS
-1.0,REBGLO,0.153,0.766,0.081,STARS
0.9999,REBGLO,0.015,0.856,0.128,STARS
1.0,REBGLO,0.053,0.852,0.094,STARS
1.0,REBGLO,0.065,0.821,0.114,STARS
0.9999,REBGLO,0.044,0.829,0.127,STARS
0.9992,REBGLO,0.035,0.866,0.099,STARS
0.9831,REBGLO,0.025,0.89,0.085,STARS
0.3612,REBGLO,0.0,0.915,0.085,STARS
0.9667,REBGLO,0.008,0.877,0.115,STARS
0.9818,REBGLO,0.019,0.935,0.046,STARS
0.9928,REBGLO,0.028,0.856,0.116,STARS
0.9215,REBGLO,0.0,0.857,0.143,STARS
0.9766,REBGLO,0.0,0.822,0.178,STARS
0.9947,REBGLO,0.034,0.876,0.09,STARS
0.9949,REBGLO,0.005,0.855,0.14,STARS
0.9941,REBGLO,0.034,0.878,0.088,STARS
0.9963,REBGLO,0.034,0.863,0.103,STARS
0.9957,REBGLO,0.01,0.88,0.11,STARS
0.995,REBGLO,0.008,0.784,0.208,STARS
0.9413,REBGLO,0.011,0.949,0.04,STARS
0.9977,REBGLO,0.015,0.875,0.11,STARS
-0.9925,REBGLO,0.077,0.855,0.067,STARS
0.9153,REBGLO,0.0,0.85,0.15,STARS
0.7709,REBGLO,0.059,0.87,0.071,STARS
0.9772,REBGLO,0.055,0.827,0.119,STARS
0.9678,REBGLO,0.0,0.84,0.16,STARS
0.9837,REBGLO,0.034,0.876,0.09,STARS
0.9961,REBGLO,0.026,0.812,0.162,STARS
0.3612,REBGLO,0.018,0.949,0.033,STARS
0.7579,REBGLO,0.005,0.96,0.034,STARS
-1.0,REBGLO,0.089,0.883,0.029,STARS
0.9988,REBGLO,0.046,0.831,0.123,STARS
-0.8619,REBGLO,0.038,0.944,0.018,STARS
-0.9128,REBGLO,0.142,0.785,0.073,STARS
0.9968,REBGLO,0.009,0.893,0.098,STARS
0.9215,REBGLO,0.0,0.857,0.143,STARS
0.965,REBGLO,0.009,0.89,0.1,STARS
0.9941,REBGLO,0.034,0.878,0.088,STARS
0.9694,REBGLO,0.023,0.9,0.076,STARS
0.9994,REBGLO,0.02,0.825,0.155,STARS
0.9956,REBGLO,0.005,0.853,0.142,STARS
0.9954,REBGLO,0.036,0.821,0.143,STARS
0.9442,REBGLO,0.0,0.877,0.123,STARS
0.9982,REBGLO,0.027,0.866,0.108,STARS
0.6542,REBGLO,0.015,0.956,0.029,STARS
-0.4588,REBGLO,0.073,0.927,0.0,STARS
0.6542,REBGLO,0.015,0.957,0.029,STARS
0.7727,REBGLO,0.014,0.903,0.084,STARS
0.9682,REBGLO,0.019,0.899,0.081,STARS
1.0,REBGLO,0.026,0.707,0.267,STARS
-0.4588,REBGLO,0.158,0.842,0.0,STARS
0.9766,REBGLO,0.052,0.847,0.101,STARS
-0.4588,REBGLO,0.12,0.88,0.0,STARS
-0.9992,REBGLO,0.139,0.767,0.094,STARS
0.9859,REBGLO,0.035,0.88,0.086,STARS
0.9992,REBGLO,0.037,0.843,0.12,STARS
0.8924,REBGLO,0.059,0.855,0.086,STARS
0.9991,REBGLO,0.038,0.84,0.122,STARS
0.9853,REBGLO,0.009,0.89,0.1,STARS
0.9991,REBGLO,0.018,0.816,0.166,STARS
0.9736,REBGLO,0.086,0.793,0.121,STARS
0.5719,REBGLO,0.042,0.901,0.057,STARS
0.6542,REBGLO,0.016,0.954,0.03,STARS
0.9979,REBGLO,0.015,0.902,0.083,STARS
0.9001,REBGLO,0.022,0.907,0.071,STARS
0.9671,REBGLO,0.052,0.851,0.097,STARS
0.9775,REBGLO,0.01,0.893,0.097,STARS
0.9831,REBGLO,0.041,0.85,0.11,STARS
