compound,name,negative,neutral,positive,ticker
0.9905,REBGLO,0.039,0.784,0.177,WINS
0.6553,REBGLO,0.0,0.984,0.016,WINS
0.9953,REBGLO,0.0,0.68,0.32,WINS
0.9862,REBGLO,0.0,0.796,0.204,WINS
0.9982,REBGLO,0.086,0.787,0.127,WINS
0.9388,REBGLO,0.0,0.879,0.121,WINS
0.9775,REBGLO,0.03,0.909,0.061,WINS
0.9994,REBGLO,0.074,0.777,0.149,WINS
0.9565,REBGLO,0.044,0.82,0.137,WINS
0.9926,REBGLO,0.007,0.903,0.089,WINS
0.9085,REBGLO,0.032,0.824,0.143,WINS
0.9993,REBGLO,0.04,0.808,0.152,WINS
0.9985,REBGLO,0.029,0.807,0.164,WINS
0.9565,REBGLO,0.044,0.82,0.137,WINS
-0.9925,REBGLO,0.077,0.855,0.067,WINS
0.9565,REBGLO,0.044,0.82,0.137,WINS
0.9565,REBGLO,0.044,0.82,0.137,WINS
0.7845,REBGLO,0.088,0.752,0.16,WINS
0.9904,REBGLO,0.0,0.768,0.232,WINS
-0.8221,REBGLO,0.143,0.766,0.091,WINS
0.9982,REBGLO,0.027,0.866,0.108,WINS
-0.6962,REBGLO,0.103,0.79,0.107,WINS
-0.9999,REBGLO,0.137,0.772,0.091,WINS
0.8793,REBGLO,0.1,0.768,0.132,WINS
1.0,REBGLO,0.026,0.707,0.267,WINS
0.9956,REBGLO,0.07,0.761,0.169,WINS
-0.8188,REBGLO,0.081,0.85,0.069,WINS
0.999,REBGLO,0.017,0.737,0.247,WINS
0.999,REBGLO,0.017,0.733,0.25,WINS
0.9977,REBGLO,0.015,0.716,0.269,WINS
0.9994,REBGLO,0.027,0.76,0.213,WINS
0.9366,REBGLO,0.059,0.679,0.262,WINS
0.9887,REBGLO,0.062,0.837,0.101,WINS
0.9997,REBGLO,0.026,0.792,0.182,WINS
0.9974,REBGLO,0.018,0.761,0.221,WINS
0.9997,REBGLO,0.02,0.841,0.139,WINS
0.9984,REBGLO,0.03,0.883,0.087,WINS
0.9997,REBGLO,0.036,0.842,0.122,WINS
1.0,REBGLO,0.027,0.826,0.147,WINS
0.9833,REBGLO,0.071,0.765,0.164,WINS
-0.7096,REBGLO,0.03,0.963,0.007,WINS
0.9643,REBGLO,0.169,0.604,0.227,WINS
0.2342,REBGLO,0.02,0.961,0.019,WINS
0.9814,REBGLO,0.022,0.627,0.351,WINS
0.8205,REBGLO,0.0,0.926,0.074,WINS
0.9771,REBGLO,0.073,0.821,0.105,WINS
-0.6908,REBGLO,0.193,0.737,0.07,WINS
0.8382,REBGLO,0.059,0.82,0.121,WINS
-0.9312,REBGLO,0.037,0.941,0.022,WINS
0.0857,REBGLO,0.015,0.971,0.014,WINS
-0.5719,REBGLO,0.021,0.973,0.006,WINS
0.9664,REBGLO,0.0,0.881,0.119,WINS
0.9893,REBGLO,0.073,0.834,0.093,WINS
1.0,REBGLO,0.054,0.795,0.151,WINS
0.999,REBGLO,0.041,0.842,0.117,WINS
0.9856,REBGLO,0.018,0.646,0.336,WINS
0.9962,REBGLO,0.011,0.849,0.14,WINS
0.9862,REBGLO,0.007,0.862,0.131,WINS
0.9951,REBGLO,0.014,0.807,0.179,WINS
0.9231,REBGLO,0.032,0.894,0.074,WINS
0.9999,REBGLO,0.027,0.794,0.179,WINS
0.9583,REBGLO,0.03,0.791,0.179,WINS
0.9953,REBGLO,0.003,0.861,0.136,WINS
0.9982,REBGLO,0.067,0.854,0.079,WINS
0.9998,REBGLO,0.056,0.849,0.095,WINS
-0.3911,REBGLO,0.057,0.892,0.051,WINS
0.9982,REBGLO,0.039,0.857,0.105,WINS
0.9993,REBGLO,0.028,0.754,0.217,WINS
0.9992,REBGLO,0.024,0.765,0.211,WINS
0.9993,REBGLO,0.029,0.754,0.218,WINS
0.9511,REBGLO,0.099,0.798,0.103,WINS
0.9992,REBGLO,0.031,0.828,0.141,WINS
0.9858,REBGLO,0.037,0.61,0.353,WINS
0.9942,REBGLO,0.059,0.781,0.16,WINS
-0.9517,REBGLO,0.098,0.813,0.089,WINS
-0.9999,REBGLO,0.106,0.813,0.082,WINS
0.9565,REBGLO,0.044,0.82,0.137,WINS
0.8925,REBGLO,0.112,0.644,0.244,WINS
0.9999,REBGLO,0.021,0.881,0.097,WINS
0.9955,REBGLO,0.027,0.824,0.149,WINS
0.9563,REBGLO,0.014,0.881,0.105,WINS
0.9992,REBGLO,0.027,0.823,0.15,WINS
-0.9451,REBGLO,0.098,0.812,0.09,WINS
-0.9661,REBGLO,0.1,0.813,0.087,WINS
-0.9678,REBGLO,0.097,0.818,0.085,WINS
0.9996,REBGLO,0.024,0.888,0.089,WINS
0.0,REBGLO,0.0,1.0,0.0,WINS
0.9816,REBGLO,0.022,0.876,0.102,WINS
0.8475,REBGLO,0.086,0.738,0.176,WINS
-0.9416,REBGLO,0.13,0.87,0.0,WINS
0.9898,REBGLO,0.041,0.867,0.092,WINS
0.9888,REBGLO,0.0,0.764,0.236,WINS
0.9463,REBGLO,0.014,0.829,0.157,WINS
0.9938,REBGLO,0.0,0.944,0.056,WINS
0.9997,REBGLO,0.026,0.887,0.087,WINS
0.998,REBGLO,0.021,0.84,0.139,WINS
0.9368,REBGLO,0.016,0.884,0.101,WINS
0.9979,REBGLO,0.061,0.814,0.126,WINS
0.9756,REBGLO,0.043,0.869,0.088,WINS
0.9998,REBGLO,0.021,0.815,0.164,WINS
